,AC,AF,AR,AS,AST,AY,AwayTeam,Date,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Referee,WHA,WHD,WHH,HomeLastWin,VisitorLastWin,HmLasthlll,VisLasthlll,Hmdwl,Visdwl,HomeWinStreak,VisitorWinStreak,HomeUnbeatenStreak,VisitorUnbeatenStreak,HomeLosingStreak,VisitorLosingStreak,prev_HS,prev_AS,prev_HST,prev_AST,prev_HC,prev_AC,AtHomeWinStreak,HomeWinAgainstVisitor,HomeWinAgainstVisitorStreak,VisitorWinAgainstHomeStreak,VisitorWPLast5,HomeWPLast5,VisitorWPALast5,HomeWPHLast5,HomeWinAgainstVisitorL5,VisitorWinAgainstHomeL5
13,5.0,18.0,0.0,11.0,4.0,1.0,Tottenham,22/08/00,E0,1.0,1.0,D,5.0,9.0,0.0,12.0,6.0,1.0,0.0,A,2.0,Middlesbrough,2.9,2.9,2.1,Peter Jones,2.8,3.2,2.2,1,1,0,0,0,0,1,1,1,1,0,0,16.0,20.0,9.0,6.0,4.0,3.0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0
14,5.0,15.0,1.0,8.0,4.0,1.0,Charlton,23/08/00,E0,0.0,3.0,H,3.0,17.0,0.0,13.0,8.0,0.0,0.0,D,2.0,Everton,4.2,3.2,1.6,Andy Hall,3.7,3.0,1.9,0,1,0,0,0,0,0,1,0,1,1,0,12.0,17.0,6.0,14.0,4.0,6.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
15,3.0,14.0,0.0,9.0,4.0,3.0,Sunderland,23/08/00,E0,2.0,4.0,H,7.0,24.0,0.0,15.0,10.0,0.0,2.0,H,3.0,Man City,2.4,2.9,2.4,David Ellaray,2.5,3.1,2.5,0,1,0,0,0,0,0,1,0,1,1,0,8.0,8.0,4.0,2.0,6.0,2.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
16,6.0,11.0,0.0,10.0,5.0,3.0,Derby,23/08/00,E0,2.0,3.0,H,9.0,23.0,1.0,9.0,4.0,1.0,1.0,D,0.0,Newcastle,4.5,3.3,1.55,Dermot Gallagher,5.5,3.4,1.53,0,0,0,0,0,0,0,0,0,1,1,0,9.0,6.0,6.0,4.0,1.0,5.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,5.0,20.0,0.0,7.0,5.0,3.0,Coventry,23/08/00,E0,2.0,1.0,A,6.0,18.0,0.0,12.0,4.0,1.0,0.0,A,5.0,Southampton,3.2,2.9,1.9,F Taylor,4.33,3.25,1.7,0,0,0,0,0,0,0,0,1,0,0,1,13.0,6.0,6.0,3.0,8.0,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,5.0,14.0,0.0,4.0,2.0,3.0,Leicester,23/08/00,E0,1.0,0.0,A,11.0,16.0,1.0,17.0,12.0,0.0,0.0,D,3.0,West Ham,3.8,3.2,1.65,Rob Styles,4.0,3.4,1.72,0,0,0,0,0,0,0,0,0,1,1,0,12.0,5.0,5.0,4.0,7.0,5.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,3.0,15.0,0.0,7.0,4.0,1.0,Charlton,26/08/00,E0,3.0,5.0,H,8.0,12.0,0.0,18.0,9.0,2.0,1.0,A,0.0,Arsenal,6.2,3.8,1.35,Steve Lodge,9.0,3.75,1.33,1,0,0,0,0,0,1,0,1,0,0,1,17.0,8.0,12.0,4.0,10.0,5.0,1,0,0,0,0.5,0.5,0.0,1.0,0.0,0.0
20,8.0,12.0,0.0,13.0,8.0,2.0,Leicester,26/08/00,E0,0.0,0.0,D,6.0,11.0,0.0,8.0,4.0,0.0,0.0,D,1.0,Bradford,2.35,3.0,2.35,Steve Bennett,2.5,3.1,2.5,1,1,0,0,0,0,1,1,1,2,0,0,12.0,4.0,3.0,2.0,6.0,5.0,1,0,0,0,1.0,0.5,1.0,1.0,0.0,0.0
21,2.0,9.0,0.0,7.0,4.0,3.0,Derby,26/08/00,E0,2.0,2.0,D,11.0,11.0,0.0,12.0,9.0,0.0,2.0,H,2.0,Everton,3.5,3.0,1.8,Mike Riley,5.0,3.5,1.57,1,0,0,0,0,0,1,0,1,0,0,1,13.0,10.0,8.0,5.0,3.0,6.0,1,0,0,0,0.0,0.5,0.0,1.0,0.0,0.0
22,6.0,12.0,0.0,9.0,3.0,1.0,Sunderland,26/08/00,E0,0.0,1.0,H,7.0,10.0,0.0,14.0,5.0,0.0,0.0,D,1.0,Ipswich,2.35,3.0,2.35,Graham Poll,2.5,3.1,2.5,0,0,0,0,0,0,0,0,1,0,0,1,13.0,9.0,8.0,4.0,4.0,3.0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0
